IDCNTRY;Variable;Mean;stdev;TOTWGT;NObs;TOTWGT.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Lebanon;BSDGHER;2,12064923448857;,50303166526567;56491,6780690002;3715;1460,92309618149;,0118578223163911;,00906431183151623;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Lebanon;BSDGSLM;1,91784417189144;,739271919349708;56491,6780690002;3715;1460,92309618149;,0220161139759544;,0104799048299993;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Lithuania;BSDGHER;1,90614144116253;,428222896919969;27111,102605;4311;516,704016586776;,012749815368508;,011691803764725;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Lithuania;BSDGSLM;2,28241201719283;,711393052707266;27111,102605;4311;516,704016586776;,020522957983348;,00841985087184069;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malaysia;BSDGHER;2,19294267099442;,490254588851015;443825,142331995;9677;8329,16135086499;,0108488332893762;,00717116100183696;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malaysia;BSDGSLM;1,87458294586124;,653128726920848;443825,142331995;9677;8329,16135086499;,0170044367249347;,00541798119428097;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malta;BSDGHER;1,99165248385332;,499865962767857;3910,70330700004;3753;14,5862125257217;,00829584551855636;,00675445406461473;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malta;BSDGSLM;2,31934571558125;,745862333199933;3910,70330700004;3753;14,5862125257217;,0117498252111044;,00565645181246281;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Morocco;BSDGHER;2,52653856422334;,537458806530542;435243,101973005;12574;5809,17245694462;,0109308131478725;,0037082926562387;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Morocco;BSDGSLM;1,71184811685357;,720679792590595;435243,101973005;12574;5809,17245694462;,0137574315468958;,00559440929838678;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
New Zealand;BSDGHER;1,87229616666828;,48276950795877;54078,583186;7879;1296,15232852097;,0104446721592975;,00539278991449039;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
