IDCNTRY;BSBG01;xvar;n;TOTWGT;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
Malaysia;Boy;BSDGSLM;4698;223772,657818999;9801,2500902358;224666,645076999;9805,13248071489;50,224641496922;1,80477181344175;50,2807344516434;1,8040852282845;1,93519999170887;,0202155212559085;,652703266141819;,00784076678775184;,426021553632199;,0102351394514723;4,5066240366896;,397917215389764;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malta;Girl;BSDGSLM;1873;1937,342595;13,1579754298689;1943,486073;12,7688022550506;49,2553401825197;,327647999625625;48,9452542715366;,300202137585677;2,40398843705803;,0168835267228863;,72332884132525;,00863894024933808;,523204612692928;,01249737120076;1,02045193214624;,316106098487077;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malta;Boy;BSDGSLM;1901;1995,921469;16,1390694730557;2027,248377;14,1218077007869;50,7446598174803;,32764799962563;51,0547457284634;,300202137585676;2,24058892068564;,0174807005383482;,757307630457021;,00675154710171246;,573514847148427;,0102258995830035;1,01287328701474;1,54529204982562;68;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Morocco;Girl;BSDGSLM;6126;204391,931751998;4298,68697790992;206453,987628998;4340,86300697057;46,333634997189;,761291964831629;46,1714156684488;,755085977017878;1,73183880204478;,0182198071300456;,738416703522142;,00629242675885314;,545259228040507;,00929273451128987;3,72959366739803;,99879682668351;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Morocco;Boy;BSDGSLM;6624;236738,861815997;4643,99810480298;240692,768951997;4700,02775307252;53,666365002811;,761291964831626;53,8285843315512;,755085977017874;1,69605242792828;,0147124493541025;,703166968607819;,00736185433298031;,49444378574111;,0103531645675928;2,89983550185636;1,64271953545416;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Oman;Girl;BSDGSLM;4335;22109,2837790001;818,06258288646;22252,2320330001;823,290141278221;48,2487439944306;1,7056391133253;47,9690349052429;1,71569675827358;1,71530397913753;,0230835465617952;,699843902529721;,00769663596935824;,48978148790803;,0107726498768451;4,71619555931984;,642399619903331;68;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Oman;Boy;BSDGSLM;4403;23714,2588640005;980,822457689814;24136,5103650005;1006,53620370733;51,7512560055694;1,7056391133253;52,0309650947571;1,71569675827358;1,83755103323729;,0203943827367387;,714514857544575;,00809073925295033;,510531481651945;,0115615704749517;3,58713142302462;1,74943061202539;65;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
New Zealand;Girl;BSDGSLM;4218;28114,9144230002;1360,27903315037;28259,4568390002;1356,56073348114;51,7245514617511;1,99734586758129;51,3952689453618;2,00014944372765;2,39808362581547;,0209024650811244;,694851584446288;,00831439515795584;,482818724407517;,0115540124927105;3,81695890577136;,51148334811772;66;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
New Zealand;Boy;BSDGSLM;3701;26240,15223;1169,86787357506;26725,092165;1214,40658432331;48,2754485382489;1,99734586758129;48,6047310546382;2,00014944372765;2,24916924797886;,0211751719281774;,707864335852541;,00841704293561933;,501071917971959;,0119160377253047;3,31186718169703;1,81454915854357;64;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway;Girl;BSDGSLM;2338;29555,250328;681,545615202221;29574,127337;682,773505554161;50,044967142947;,702313231665848;49,9857150960479;,700508355706346;2,45225596683026;,0224252685362083;,693898046814719;,00941285198260145;,481494499373282;,0130628190013779;2,44190341004479;,0638294708915488;72;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway;Boy;BSDGSLM;2321;29502,1374880001;617,125602254885;29591,030709;617,011839874386;49,955032857053;,702313231665848;50,0142849039521;,700508355706342;2,34043191094493;,0222606607243065;,708204981942623;,0111484181467862;,501554296448352;,0157900003036293;2,29315434442131;,300405963800927;73;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Qatar;Girl;BSDGSLM;2654;7816,340198;505,645685955459;7869,453413;506,621650735471;50,712864704194;3,06446707074566;50,4270778933828;3,03855775944273;2,26159680799503;,0238014563892782;,741272562893611;,00895055920323416;,549485012498862;,0132692387562854;2,73622704472309;,674928895471435;71;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Qatar;Boy;BSDGSLM;2669;7596,59347;447,207145592921;7736,157187;449,606615557734;49,287135295806;3,06446707074565;49,5729221066172;3,03855775944273;2,09519551136386;,0202214702100398;,749668177617437;,00840977099208579;,562002376532249;,012608681463405;1,94194031399471;1,80404448392706;67;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Russian Federation;Girl;BSDGSLM;2291;610578,835204001;24233,8461771391;612120,759080001;24659,5599178998;48,7174336362092;,939458984837853;48,6938339001962;,941995379329974;2,19126059718232;,0214929419327953;,693499706224071;,00879007425182242;,480941842532873;,0121912858475973;2,20051461353625;,251898641424523;59;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Russian Federation;Boy;BSDGSLM;2474;642727,814246;18407,7262818897;644959,881426999;18404,4520297804;51,2825663637908;,939458984837852;51,3061660998038;,941995379329972;2,09688482095652;,0235833122871899;,709578592538494;,00929548943964336;,50350177898891;,0131911724239849;2,73280277335186;,346078453137498;59;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Saudi Arabia;Girl;BSDGSLM;1964;185008,537530998;8545,18742097996;188431,888282999;8388,995062354;51,8923519565511;1,58808641990757;51,125166415956;1,55569948714165;2,19617962109408;,0418207360040324;,771516177049632;,0103381214504116;,595237211449279;,0159499967237819;5,77078312848987;1,81675765349154;37;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Saudi Arabia;Boy;BSDGSLM;1677;171515,170790999;7499,67734646073;180137,842619998;7837,39624586986;48,1076480434489;1,58808641990758;48,8748335840439;1,55569948714166;2,22006612838927;,0319723645673345;,757668264837917;,00942617851606813;,574061199542499;,0142833146111547;2,98623775026551;4,78670761434041;35;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Singapore;Girl;BSDGSLM;2965;22988,2255629999;278,624842410648;23081,1148749999;283,677848495837;48,5195480611973;,590812191193036;48,5152056206763;,595231544086494;2,13069571358461;,0158329995460988;,745954561859205;,0067015045359832;,556448208358558;,00999793535639689;1,33575358335849;,402447249637028;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
