IDCNTRY;Variable;Mean;stdev;TOTWGTS;NObs;TOTWGTS.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Russian Federation;HISCED;4,18074751634402;,956001765339115;1257999,84043029;4247;21520,1113243756;,0219324202435902;,0166280314622119;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Slovak Republic;HOMELIT;2,31909404216731;1,1849579295112;51346,7998430008;2951;1730,65972585709;,0390870318860712;,0232077926746435;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Slovak Republic;HISCED;3,63946580479089;,894571189826637;51346,7998430008;2951;1730,65972585709;,031056872203194;,0122677592126374;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Slovenia;HOMELIT;2,33227443381169;1,26598591406765;16870,613556706;2993;336,917030915888;,0380485833485498;,0211584271854742;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Slovenia;HISCED;3,92620360879485;,91802241376758;16870,613556706;2993;336,917030915888;,0290393784704064;,0094172259219567;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Spain;HOMELIT;2,53426070192757;1,29095220063147;431163,533645194;3234;7477,50602089995;,0426045693956027;,0179532341026636;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Spain;HISCED;3,3391608944685;1,43331186421878;431163,533645194;3234;7477,50602089995;,054021166078595;,0177332335698383;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Sweden;HOMELIT;2,78021809842173;1,31466745272831;98968,7219817965;3209;1751,90740193018;,0346446820824013;,017200318209306;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Sweden;HISCED;4,193332172651;,985258755825562;98968,7219817965;3209;1751,90740193018;,0297787948227657;,0166500059335456;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Switzerland;HOMELIT;2,54184358477636;1,32973395486456;79666,3873987236;2809;3824,66532523172;,0507815432945459;,0206971957412692;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Switzerland;HISCED;3,35820681892547;1,14645006339816;79666,3873987236;2809;3824,66532523172;,0412776598138925;,0184553925012391;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Thailand;HOMELIT;1,47191641513117;1,11485337463624;868720,502619609;5239;18958,5907887489;,0264151370785088;,018003678809803;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Thailand;HISCED;2,36337350107659;1,51681218922385;868720,502619609;5239;18958,5907887489;,0422151755497119;,0215641744005978;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Table Average;HOMELIT;2,22869612083169;1,28457612308837; ; ; ;,00702967672409488;,00336638417218608;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Table Average;HISCED;3,47133941456031;1,13278664994809; ; ; ;,00633339821983866;,00314039437765151;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
