IDCNTRY;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Greece;HISCED;SGENDER;GIRL;BOY;50,7257909151565;1,05429135947712;49,2742090848435;1,05429135947712;-1,4515818303129;2,10858271895424;-,68841588108662;3,72916748345929;,0455735322770885;3,7127543298852;,0444954190347009;-,0164131535740926;,0537416847365633;-,305408244169276;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Greece;HISCED;SGENDER;GIRL;GIRL;50,7257909151565;1,05429135947712;50,7257909151565;1,05429135947712;0; ; ;3,72916748345929;,0455735322770885;3,72916748345929;,0455735322770885;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Guatemala;HISCED;SGENDER;BOY;BOY;51,2867293109169;1,3756152404657;51,2867293109169;1,3756152404657;0; ; ;2,16565178635301;,0822898852683853;2,16565178635301;,0822898852683853;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Guatemala;HISCED;SGENDER;BOY;GIRL;51,2867293109169;1,3756152404657;48,7132706890831;1,37561524046569;-2,57345862183383;2,75123048093139;-,935384599607454;2,16565178635301;,0822898852683853;2,07984854482968;,0905318573314587;-,0858032415233287;,0905105703986593;-,947991390899463;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Guatemala;HISCED;SGENDER;GIRL;BOY;48,7132706890831;1,37561524046569;51,2867293109169;1,3756152404657;2,57345862183383;2,75123048093139;,935384599607454;2,07984854482968;,0905318573314587;2,16565178635301;,0822898852683853;,0858032415233287;,0905105703986593;,947991390899463;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Guatemala;HISCED;SGENDER;GIRL;GIRL;48,7132706890831;1,37561524046569;48,7132706890831;1,37561524046569;0; ; ;2,07984854482968;,0905318573314587;2,07984854482968;,0905318573314587;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Hong Kong, SAR;HISCED;SGENDER;BOY;BOY;50,6485994767844;3,18981370104412;50,6485994767844;3,18981370104412;0; ; ;2,88786643258564;,0513928424579325;2,88786643258564;,0513928424579325;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Hong Kong, SAR;HISCED;SGENDER;BOY;GIRL;50,6485994767844;3,18981370104412;49,3514005232156;3,18981370104412;-1,2971989535688;6,37962740208824;-,203334594923864;2,88786643258564;,0513928424579325;2,86367448924476;,0539147594739895;-,0241919433408775;,0703525639032237;-,343867259395915;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Hong Kong, SAR;HISCED;SGENDER;GIRL;BOY;49,3514005232156;3,18981370104412;50,6485994767844;3,18981370104412;1,2971989535688;6,37962740208824;,203334594923864;2,86367448924476;,0539147594739895;2,88786643258564;,0513928424579325;,0241919433408775;,0703525639032237;,343867259395915;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Hong Kong, SAR;HISCED;SGENDER;GIRL;GIRL;49,3514005232156;3,18981370104412;49,3514005232156;3,18981370104412;0; ; ;2,86367448924476;,0539147594739895;2,86367448924476;,0539147594739895;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Indonesia;HISCED;SGENDER;BOY;BOY;47,2768869247344;1,11117545112877;47,2768869247344;1,11117545112877;0; ; ;2,50557320469886;,0613777978337591;2,50557320469886;,0613777978337591;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Indonesia;HISCED;SGENDER;BOY;GIRL;47,2768869247344;1,11117545112877;52,7231130752656;1,11117545112876;5,44622615053117;2,22235090225753;2,45065985979025;2,50557320469886;,0613777978337591;2,41687186407334;,0513893468792741;-,0887013406255197;,050957944951159;-1,74067735091233;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Indonesia;HISCED;SGENDER;GIRL;BOY;52,7231130752656;1,11117545112876;47,2768869247344;1,11117545112877;-5,44622615053117;2,22235090225753;-2,45065985979025;2,41687186407334;,0513893468792741;2,50557320469886;,0613777978337591;,0887013406255197;,050957944951159;1,74067735091233;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Indonesia;HISCED;SGENDER;GIRL;GIRL;52,7231130752656;1,11117545112876;52,7231130752656;1,11117545112876;0; ; ;2,41687186407334;,0513893468792741;2,41687186407334;,0513893468792741;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Ireland;HISCED;SGENDER;BOY;BOY;51,7486336843629;1,74581598055149;51,7486336843629;1,74581598055149;0; ; ;3,71542943419249;,0388843602627186;3,71542943419249;,0388843602627186;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Ireland;HISCED;SGENDER;BOY;GIRL;51,7486336843629;1,74581598055149;48,2513663156371;1,74581598055149;-3,49726736872574;3,49163196110298;-1,00161397526588;3,71542943419249;,0388843602627186;3,80229466943387;,0396644590257675;,0868652352413886;,045307597364202;1,91723331835781;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Ireland;HISCED;SGENDER;GIRL;BOY;48,2513663156371;1,74581598055149;51,7486336843629;1,74581598055149;3,49726736872574;3,49163196110298;1,00161397526588;3,80229466943387;,0396644590257675;3,71542943419249;,0388843602627186;-,0868652352413886;,045307597364202;-1,91723331835781;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Ireland;HISCED;SGENDER;GIRL;GIRL;48,2513663156371;1,74581598055149;48,2513663156371;1,74581598055149;0; ; ;3,80229466943387;,0396644590257675;3,80229466943387;,0396644590257675;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Italy;HISCED;SGENDER;BOY;BOY;51,8285598145439;,773003954375387;51,8285598145439;,773003954375387;0; ; ;3,17365447455075;,0436747262442746;3,17365447455075;,0436747262442746;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Italy;HISCED;SGENDER;BOY;GIRL;51,8285598145439;,773003954375387;48,1714401854561;,773003954375385;-3,65711962908785;1,54600790875077;-2,3655245282949;3,17365447455075;,0436747262442746;3,1027455482521;,0498796951292275;-,0709089262986566;,0435031990181878;-1,62997039066049;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Italy;HISCED;SGENDER;GIRL;BOY;48,1714401854561;,773003954375385;51,8285598145439;,773003954375387;3,65711962908785;1,54600790875077;2,3655245282949;3,1027455482521;,0498796951292275;3,17365447455075;,0436747262442746;,0709089262986566;,0435031990181878;1,62997039066049;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
