IDCNTRY;ASBG01;dvar;n;TOTWGT;p10;p10_se;p50;p50_se;p90;p90_se;weight;reps;method;jk2type;npv;shortcut;date;time;infile;selcrit
Singapore;Boy;ASRREA0;3252;19790,615736;457,306896;6,81586720920426;575,047474;4,09295838867635;665,970718;3,63494991076547;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Slovak Republic;Girl;ASRREA0;2657;23030,9562150002;437,717744;10,4488790010674;548,799876;2,92921386837425;629,877374;4,24750884333462;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Slovak Republic;Boy;ASRREA0;2788;23981,3351040002;422,330596;10,7107139975683;541,913932;3,15798488455755;622,821818;2,97412814615036;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Slovenia;Girl;ASRREA0;2246;9642,121417;462,741316;6,05027170154334;556,734414;2,78936878328526;634,165674;3,19867383030621;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Slovenia;Boy;ASRREA0;2243;9800,112254;431,702218;5,13181692047113;539,80734;4,45480179046612;623,680016;4,14634854289487;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa;Girl;ASRREA0;6159;469743,458193;220,045222;4,25602813544671;347,482286;3,32377772921957;472,755686;8,74599226222193;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
South Africa;Boy;ASRREA0;6603;508756,377445999;160,720492;5,82611781769851;290,499108;5,95374504704594;435,459006;9,8556105051197;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain;Girl;ASRREA0;7236;225629,676814;448,735634;2,94169099414876;535,311622;1,97405794128338;609,55259;2,28877309588574;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Spain;Boy;ASRREA0;7333;231131,851674999;435,068466;5,74255737374264;527,942804;2,95506910393747;604,773322;2,83698733372812;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Sweden;Girl;ASRREA0;2216;50173,6472379999;475,981366;5,32239395487374;567,888406;2,21361628199334;642,281376;4,06973524446689;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
