IDCNTRY;Variable;ASDAGE;ASRREA0_;ASDAGE.se;ASRREA0_.se;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Norway (4);ASRREA0_;,0896055593022102;1;,0169773193855388;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Oman;ASDAGE;1;,00578636158089305;0;,0152924610105001;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Oman;ASRREA0_;,00578636158089305;1;,0152924610105001;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Poland;ASDAGE;1;-,0127522180049149;0;,0210131499509626;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Poland;ASRREA0_;-,0127522180049149;1;,0210131499509626;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Portugal;ASDAGE;1;-,155913142567933;0;,0227734059975172;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Portugal;ASRREA0_;-,155913142567933;1;,0227734059975172;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Qatar;ASDAGE;1;,0480885789866962;0;,0127881103417963;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Qatar;ASRREA0_;,0480885789866962;1;,0127881103417963;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Russian Federation;ASDAGE;1;-,00179494169697715;0;,0234181544752293;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
