"";"IDCNTRY";"BSBG01";"dvar";"n";"TOTWGT";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"83";"Saudi Arabia";"Boy";"BSMMAT0";2949;216773,736574999;288,300122;5,09903355471053;391,206386;5,67934343828986;507,468168;5,2566651316404;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"84";"Singapore";"Girl";"BSMMAT0";2304;18482,252867;469,612908;14,7969979900152;614,36848;7,30310998757796;710,870894;7,87200630383233;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"85";"Singapore";"Boy";"BSMMAT0";2466;20393,2739160001;468,591298;17,4731835319436;619,793708;8,23696346281955;728,12823;9,19199265570098;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"86";"South Africa";"Girl";"BSMMAT0";5281;430912,696478;305,51117;4,28281202701917;395,283918;3,53211469586764;492,325468;7,08145892230505;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"87";"South Africa";"Boy";"BSMMAT0";5176;430756,926849003;296,1871;4,26722546652623;385,600828;3,93767460749032;501,063946;10,6159037702353;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"88";"South Africa";"<Other>";"BSMMAT0";83;7810,796359;302,030504;16,8686027232867;382,971056;15,9487864710105;521,864306;45,8128686607441;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"89";"Sweden";"Girl";"BSMMAT0";2416;55339,9524079999;410,420382;5,33148048704894;517,441452;3,66973897507908;615,478926;5,84421127860774;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"90";"Sweden";"Boy";"BSMMAT0";2555;58011,0221739999;408,593588;5,29630658685314;525,650138;3,27471882937367;629,08511;5,31371817896848;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"91";"Sweden";"<Other>";"BSMMAT0";2;47,483478;408,647968;68,3296514074425;408,647968;68,3296514074425;500,405414;71,5036415863839;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"92";"United Arab Emirates";"Girl";"BSMMAT0";16413;38171,8818919999;352,46656;2,70471932905431;482,19706;2,68882948394463;612,300788;2,8185308680666;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"93";"United Arab Emirates";"Boy";"BSMMAT0";15692;38969,606834;352,309704;2,87590185573258;498,005794;2,80001364116785;634,842368;3,544730812116;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"94";"Turkey";"Girl";"BSMMAT0";2393;498493,102004998;367,084126;6,72588823957591;509,236372;5,9285070123391;653,40624;5,79928932596657;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"95";"Turkey";"Boy";"BSMMAT0";2452;472258,901265997;352,188848;5,48246210060355;504,037748;7,35387854844256;666,574182;7,82874123213136;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"96";"United States";"Girl";"BSMMAT0";3846;1713612,37304699;363,104468;6,173918266424;480,577346;6,14818117153648;603,418974;5,09869255618796;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"97";"United States";"Boy";"BSMMAT0";4032;1788183,96658599;371,027878;5,67830022420653;495,200746;5,71389409764535;621,76321;5,05585375490526;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"98";"Uzbekistan";"Girl";"BSMMAT0";2148;273271,013197001;311,95568;4,15855848024168;412,508046;3,8794737971323;525,119296;5,61091647211983;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"99";"Uzbekistan";"Boy";"BSMMAT0";2188;275234,510827001;314,475602;5,72875780122043;419,970308;4,83304973830852;551,066656;12,7857930110301;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"100";"England";"Girl";"BSMMAT0";2024;264303,140249;382,678108;8,52701104720782;517,159436;6,67377088662887;631,44572;7,03597316266768;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"101";"England";"Boy";"BSMMAT0";1953;275250,12043;403,46515;9,590675307414;548,302926;6,86881247144699;658,885854;7,66184405402875;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"102";"England";"<Other>";"BSMMAT0";106;15715,382766;405,945162;23,4022877425543;537,412708;24,8333044479891;656,084014;25,0926430623971;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"103";"United Arab Emirates (Dubai)";"Girl";"BSMMAT0";3998;11206,0395319999;404,778068;7,36640089334906;539,194846;3,90738916701887;652,636122;5,6551432471383;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"104";"United Arab Emirates (Dubai)";"Boy";"BSMMAT0";4058;11875,353998;421,875914;8,75556260206651;564,716306;3,98870537643308;678,310178;5,26010013360909;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"105";"United Arab Emirates (Abu Dhabi)";"Girl";"BSMMAT0";6182;13225,1035619997;325,070368;5,15441168015168;449,656428;4,6699567668806;575,838672;3,719615201967;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"106";"United Arab Emirates (Abu Dhabi)";"Boy";"BSMMAT0";5578;13230,9962769999;322,666138;6,34431201815405;459,876592;4,96902730200933;595,114374;3,94276607704488;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"107";"United Arab Emirates (Sharjah)";"Girl";"BSMMAT0";3143;7812,492906;372,376222;5,10686257204305;491,244914;6,84106428715635;608,758114;8,33824095706677;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"108";"United Arab Emirates (Sharjah)";"Boy";"BSMMAT0";3135;7934,198783;378,088218;6,93304807041348;500,735192;4,64490935181882;621,072086;11,2773535574751;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"109";"Table Average";"Girl";"BSMMAT0";NA;NA;357,723522297872;0,928521388661587;472,640568255319;0,715339576374248;584,707426765958;1,05110719648752;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"110";"Table Average";"Boy";"BSMMAT0";NA;NA;358,178214042553;0,988012021988779;479,753334170213;0,748066911045038;598,646821574468;1,04857414693519;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"111";"Table Average";"<Other>";"BSMMAT0";NA;NA;407,599299;9,89494753902809;495,660155571429;9,63741996209719;598,247631285714;11,2268402503285;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
