S_SEX;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Boy;PVCIL;IDCNTRY;France;France;50,2227167623303;,635399858970222;50,2227167623303;,635399858970222;0; ; ;486,822946020285;2,84974230418089;486,822946020285;2,84974230418089;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;France;Germany;50,2227167623303;,635399858970222;51,5018528311028;,916626652076171;1,27913606877248;1,1153194161655;1,1468786880535;486,822946020285;2,84974230418089;510,569719692525;3,63684151568924;23,7467736722406;4,62035143798381;5,13960333775022;15 to 33;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;France;Italy;50,2227167623303;,635399858970222;52,3921695888305;,635520220607424;2,16945282650012;,898676210645573;2,41405391708508;486,822946020285;2,84974230418089;453,507037268286;3,11487881650636;-33,315908751999;4,22178886750134;-7,89141991643864;-42 to -25;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;France;Kazakhstan;50,2227167623303;,635399858970222;51,6883976550375;,677974997633232;1,4656808927072;,929184092736826;1,5773848305885;486,822946020285;2,84974230418089;391,169255433864;5,85094047027475;-95,6536905864206;6,50803623122499;-14,6977808954847;-108 to -83;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;France;Korea, Republic of;50,2227167623303;,635399858970222;53,0118436683693;,887449773185703;2,78912690603896;1,09146693981391;2,55539293431508;486,822946020285;2,84974230418089;523,8913858382;3,91769244172243;37,0684398179152;4,84451703146633;7,65162751563192;28 to 47;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;France;Luxembourg;50,2227167623303;,635399858970222;52,7094470116788;,65086182943231;2,48673024934845;,909590073489894;2,73390214100229;486,822946020285;2,84974230418089;470,877994781358;1,29498523559314;-15,9449512389269;3,13017858286751;-5,09394298657554;-22 to -10;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;France;Portugal;50,2227167623303;,635399858970222;51,4041265361389;1,03934868328128;1,18140977380857;1,21818663029025;,969810162443733;486,822946020285;2,84974230418089;510,942841282463;3,24645421184343;24,1198952621785;4,31977964135142;5,58359390170946;16 to 33;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;France;United States;50,2227167623303;,635399858970222;50,6373381485471;,414458803328756;,41462138621672;,758623147838294;,546544601754098;486,822946020285;2,84974230418089;507,974053078872;2,33338298643507;21,1511070585876;3,68316539971026;5,74264383029105;14 to 28;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;France;Uruguay;50,2227167623303;,635399858970222;49,2914976240555;1,02676132246567;-,931219138274881;1,20746502810261;-,771218309931663;486,822946020285;2,84974230418089;448,095357151735;4,85767996417317;-38,7275888685499;5,63188119854882;-6,87649250813901;-50 to -28;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;France;Russian Federation (Moscow);50,2227167623303;,635399858970222;51,2292455377873;,746876009703025;1,00652877545698;,980590003339464;1,0264522094139;486,822946020285;2,84974230418089;546,14077310732;2,67965169290687;59,3178270870357;3,91172141077772;15,1641236320155;52 to 67;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;France;Germany, North-Rhine Westphalia;50,2227167623303;,635399858970222;51,8597531850013;1,095269129023;1,63703642267094;1,26623356683125;1,29283922457342;486,822946020285;2,84974230418089;512,661978148244;3,19696605175547;25,8390321279589;4,28271212391344;6,0333338735707;17 to 34;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
