SGENDER;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
BOY;10;PVCIV;IDCNTRY;Bulgaria;Lithuania;318,564082478314;6,59690782199578;386,701846325178;3,85489457423797;68,1377638468634;7,64064166090771;8,91780649725807;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Luxembourg;318,564082478314;6,59690782199578;338,332446063515;6,75261826557252;19,7683635852011;9,44018253279314;2,0940658209235;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Malta;318,564082478314;6,59690782199578;351,581455700405;8,45402533039855;33,0173732220912;10,7233267738575;3,07902332162296;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Mexico;318,564082478314;6,59690782199578;336,860333881639;5,30360808944504;18,2962514033245;8,46448176667278;2,16153237819737;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Netherlands;318,564082478314;6,59690782199578;367,143784480245;15,488262727301;48,5797020019304;16,8346510246518;2,88569700261637;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;New Zealand;318,564082478314;6,59690782199578;352,002059180942;10,229401779032;33,4379767026274;12,1720932287249;2,74710159331651;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Norway;318,564082478314;6,59690782199578;374,924948870164;9,69443121923891;56,36086639185;11,7260901188957;4,80645004604125;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Paraguay;318,564082478314;6,59690782199578;295,641192789092;6,40989216762996;-22,9228896892225;9,19814711844472;-2,4921203579421;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Poland;318,564082478314;6,59690782199578;384,388527182229;8,69642832151456;65,8244447039143;10,9154504425218;6,03039197058613;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Russian Federation;318,564082478314;6,59690782199578;387,963656766786;4,99438961088554;69,399574288472;8,27424440038065;8,38742136808037;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
