BSBG01;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;United States;50,4901096678385;,953820867369347;49,0798571675151;,703376050572681;-1,41025250032342;1,18512113960913;-1,1899648510097;1,90528688300086;,0251352197904003;2,42367489389399;,0173590880381735;,518388010893134;,0305469673032985;16,9701956251859;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Uzbekistan;50,4901096678385;,953820867369347;50,6504429670043;,91980051349098;,160333299165799;1,32506876487505;,120999983861908;1,90528688300086;,0251352197904003;1,58448192540836;,0231207048191969;-,320804957592498;,0341518120346222;-9,3934974011708;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;England;50,4901096678385;,953820867369347;47,7695321769824;1,6456101141959;-2,72057749085612;1,90205333652163;-1,43033711968948;1,90528688300086;,0251352197904003;2,62377443279216;,0209233627760736;,718487549791305;,0327042257784971;21,969257265332;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;United Arab Emirates (Dubai);50,4901096678385;,953820867369347;49,1894255788745;,746957545561351;-1,30068408896395;1,21149487076927;-1,07361914635102;1,90528688300086;,0251352197904003;2,19150340973641;,0242650080219625;,28621652673555;,0349366553667868;8,19244211361021;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;United Arab Emirates (Abu Dhabi);50,4901096678385;,953820867369347;52,0607153763622;,593395271997974;1,57060570852375;1,12333975085847;1,3981573315851;1,90528688300086;,0251352197904003;2,20695877515542;,0208165935048101;,30167189215456;,0326360205762932;9,24352561456877;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;United Arab Emirates (Sharjah);50,4901096678385;,953820867369347;50,6378865761047;,820087860686767;,147776908266216;1,25790235959514;,117478838591081;1,90528688300086;,0251352197904003;2,04508051180646;,0421015320067373;,139793628805597;,0490338482196335;2,85096181273454;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Australia;Azerbaijan, Republic of;46,3820303104497;1,69498250303778;50,4901096678385;,953820867369347;4,10807935738874;1,94492671652004;2,11220264624629;2,59731734157898;,0179018947073052;1,90528688300086;,0251352197904003;-,692030458578119;,03085866341926;-22,425807922264;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Australia;Australia;46,3820303104497;1,69498250303778;46,3820303104497;1,69498250303778;0; ; ;2,59731734157898;,0179018947073052;2,59731734157898;,0179018947073052;0; ; ;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Australia;Austria;46,3820303104497;1,69498250303778;48,1001913916157;,992233537356605;1,718161081166;1,96405017203212;,874805086770408;2,59731734157898;,0179018947073052;2,5837101073428;,0152976632010373;-,0136072342361824;,023547745826805;-,577857190079439;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Australia;Bahrain;46,3820303104497;1,69498250303778;51,1564704203059;,839175737493715;4,77444010985617;1,89134386191468;2,52436386952017;2,59731734157898;,0179018947073052;2,17423699476686;,0250907943529634;-,423080346812114;,0308224884682296;-13,726352667735;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Australia;Brazil;46,3820303104497;1,69498250303778;50,1756135588471;,598628390988025;3,79358324839735;1,79758772695552;2,11037447102642;2,59731734157898;,0179018947073052;2,43831027143471;,0179298577843403;-,159007070144271;,0253368828840114;-6,27571555949414;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Australia;Chile;46,3820303104497;1,69498250303778;47,3072711610957;1,14117134606275;,92524085064592;2,04333984610463;,452808108455271;2,59731734157898;,0179018947073052;2,40687526574173;,023770034519572;-,190442075837246;,0297572239157668;-6,3998602953127;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Australia;Chinese Taipei;46,3820303104497;1,69498250303778;48,0560259971622;,789866092092483;1,67399568671249;1,86998773499765;,895190730603689;2,59731734157898;,0179018947073052;2,60933326741792;,015885180602087;,0120159258389378;,0239335913910212;,502052769374416;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Australia;Cyprus;46,3820303104497;1,69498250303778;50,9854568058889;,755774683451583;4,60342649543912;1,85584510607716;2,48050146015134;2,59731734157898;,0179018947073052;2,40698674063877;,0173151253376408;-,19033060094021;,0249056499527648;-7,64206520613535;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Australia;Czech Republic;46,3820303104497;1,69498250303778;48,6643849690138;,671327275812173;2,28235465856407;1,82308694166065;1,25191761643856;2,59731734157898;,0179018947073052;2,66647722135014;,0133621668987672;,0691598797711652;,0223388750464734;3,09594281839557;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Australia;Finland;46,3820303104497;1,69498250303778;50,0208581575274;,87850169406536;3,63882784707767;1,90911783609077;1,90602579803495;2,59731734157898;,0179018947073052;2,69225258366058;,0153325963687696;,0949352420816068;,0235704549281309;4,02772209408243;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
