"";"IDCNTRY";"BSBG01";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"83";"Japan";"Boy";"BSMMAT0";"Percentile";10;90;467,404394;6,49809715975192;700,33792;5,91428310208346;232,933526;7,47144590825674;31,1764990150814;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"84";"Japan";"Boy";"BSMMAT0";"Percentile";50;90;587,610692;3,52078877508206;700,33792;5,91428310208346;112,727228;5,96300145064665;18,9044441684272;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"85";"Kazakhstan";"Girl";"BSMMAT0";"Percentile";10;50;410,105288;8,05588957901385;532,102538;7,38779946050136;121,99725;7,45022368615738;16,3749781401426;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"86";"Kazakhstan";"Girl";"BSMMAT0";"Percentile";10;90;410,105288;8,05588957901385;648,804018;8,87670807626081;238,69873;9,98880377550736;23,896628201396;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"87";"Kazakhstan";"Girl";"BSMMAT0";"Percentile";50;90;532,102538;7,38779946050136;648,804018;8,87670807626081;116,70148;7,75232823099425;15,0537330880059;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"88";"Kazakhstan";"Boy";"BSMMAT0";"Percentile";10;50;398,509548;7,56014973589373;527,230842;6,46340837513182;128,721294;7,4835180873267;17,2006391242628;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"89";"Kazakhstan";"Boy";"BSMMAT0";"Percentile";10;90;398,509548;7,56014973589373;643,116856;7,05986233335083;244,607308;8,77812969682058;27,8655381554224;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"90";"Kazakhstan";"Boy";"BSMMAT0";"Percentile";50;90;527,230842;6,46340837513182;643,116856;7,05986233335083;115,886014;6,86983724033154;16,8688150746359;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"91";"Jordan";"Girl";"BSMMAT0";"Percentile";10;50;278,210844;6,47393298319698;396,49981;5,15979028294173;118,288966;5,36870982467353;22,0330339807839;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"92";"Jordan";"Girl";"BSMMAT0";"Percentile";10;90;278,210844;6,47393298319698;508,084922;5,11097841861068;229,874078;6,94880063250298;33,0811157431637;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
