IDCNTRY;Variable;Mean;stdev;TOTWGTS;NObs;TOTWGTS.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Netherlands;RHOMELIT;899,047815552374;517,67468905591;151672,404161202;1848;13359,75406605;41,42563756005;11,8534018928549; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Netherlands;RHISCED;898,749321684878;494,946181497843;151672,404161202;1848;13359,75406605;31,7708734810746;10,3355455784588; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
New Zealand;RHOMELIT;1677,99168134196;960,207181058595;49597,0785626161;3412;1414,24927406209;28,1215365871867;10,5736171613782; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
New Zealand;RHISCED;1719,59476738394;922,473061523094;49597,0785626161;3412;1414,24927406209;24,1297752745195;7,81782332405446; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Norway;RHOMELIT;1394,96448852699;782,575116220744;55468,3100256759;2804;1134,1434440822;24,7954914025499;8,25692833999455; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Norway;RHISCED;1374,96193805688;739,83493440133;55468,3100256759;2804;1134,1434440822;21,7457827610956;6,18657750498248; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Paraguay;RHOMELIT;1608,72282766732;903,36356667989;85446,1217268435;3281;3925,51091248245;32,7206033502185;8,83497917841331; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Paraguay;RHISCED;1588,49246831304;934,130676890048;85446,1217268435;3281;3925,51091248245;29,1560332483359;10,1289887283244; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Poland;RHOMELIT;1569,59613143854;886,599876950188;428522,648855312;3170;7219,52400090162;30,0571639929093;9,37603274701075; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Poland;RHISCED;1571,99266977813;787,317552651048;428522,648855312;3170;7219,52400090162;28,6384614713006;10,2299247845581; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Russian Federation;RHOMELIT;2059,69792694861;1194,75122117513;1257999,84043029;4247;21520,1113243756;37,7622246694064;11,8283370873727; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Russian Federation;RHISCED;2083,9228420177;1125,24284305217;1257999,84043029;4247;21520,1113243756;28,2218391955407;7,31739308366578; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Slovak Republic;RHOMELIT;1484,87389777697;817,849572695726;51346,7998430008;2951;1730,65972585709;26,4573930764952;10,8730616698912; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Slovak Republic;RHISCED;1481,07456137356;749,934571362391;51346,7998430008;2951;1730,65972585709;25,8142716794123;8,95953565542665; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Slovenia;RHOMELIT;1489,46268433416;830,256888830526;16870,613556706;2993;336,917030915888;24,7698336656073;9,76711210468215; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Slovenia;RHISCED;1480,80006781208;819,070406781187;16870,613556706;2993;336,917030915888;26,2473905833835;6,9651218755107; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Spain;RHOMELIT;1595,71472675763;902,84223781131;431163,533645194;3234;7477,50602089995;29,7393363248749;9,51120021779831; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Spain;RHISCED;1595,85869847647;899,629770584962;431163,533645194;3234;7477,50602089995;34,2338728805472;9,82164394668701; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Sweden;RHOMELIT;1636,09099854581;893,122190684475;98968,7219817965;3209;1751,90740193018;23,7560492272714;8,98862507259634; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Sweden;RHISCED;1620,8218651173;845,51404377442;98968,7219817965;3209;1751,90740193018;26,2354413153502;6,94244423830196; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Switzerland;RHOMELIT;1389,01743831413;788,607983161543;79666,3873987236;2809;3824,66532523172;30,0558887279389;9,62038736227139; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Switzerland;RHISCED;1379,49836625725;775,939616427289;79666,3873987236;2809;3824,66532523172;28,2604029060881;10,0432751514247; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Thailand;RHOMELIT;2556,76126619644;1445,09480327435;868720,502619609;5239;18958,5907887489;33,9727172683952;12,7135228677683; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Thailand;RHISCED;2491,29149254543;1451,09537185727;868720,502619609;5239;18958,5907887489;39,9191944992757;17,802486881637; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Table Average;RHOMELIT;1762,74501149493;1000,24350284293; ; ; ;5,11038394962139;1,69246127396744; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Table Average;RHISCED;1757,62994817295;972,225693668953; ; ; ;5,34549269682778;1,78811344388625; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
