"";"IDCNTRY";"ASBGSEX";"dvar";"n";"TOTWGT";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"63";"United States";"GIRL";"ASRREA0";1908;1924464,759959;450,7414292;7,11883440987026;557,8915178;3,90396531433285;645,594919;6,00490040376467;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"64";"United States";"BOY";"ASRREA0";1849;1872919,293102;411,7958524;6,53020701466643;544,5634528;5,38776598541664;634,908357;6,05481982082559;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"65";"England";"GIRL";"ASRREA0";1581;305166,489437;454,1820678;6,55190726303309;569,200501;4,12175246616584;664,6729982;4,48357032936074;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"66";"England";"BOY";"ASRREA0";1565;285702,235534;421,2810704;9,57011441932735;547,480069;2,7362008205052;648,3514952;6,24128702022279;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"67";"Scotland";"GIRL";"ASRREA0";1385;32965,4118729999;428,5781026;9,88804831009305;541,7022328;3,6634503359433;637,1583626;4,24294661221513;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"68";"Scotland";"BOY";"ASRREA0";1313;31022,689;407,5169598;6,27051668733959;525,818967;4,19530761906511;622,2973694;8,83513598025151;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"69";"Sweden (Grade 3)";"GIRL";"ASRREA0";2593;57897,4098880002;429,324003;6,55718710414491;537,581082;1,97756083072641;618,2697622;1,91314836084999;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"70";"Sweden (Grade 3)";"BOY";"ASRREA0";2589;56809,99654;402,3212278;8,05184263744612;516,7831292;2,52710939182465;602,8414568;4,20771350434804;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"71";"Canada (Ontario)";"GIRL";"ASRREA0";2119;68714,2872660001;461,3807734;6,40646796588273;560,5861886;6,33160069131693;652,8413944;4,84580323062654;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"72";"Canada (Ontario)";"BOY";"ASRREA0";2158;71961,0896940001;434,0502876;5,59562712371604;541,534312;5,10769465320784;633,6009944;3,12492210318521;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"73";"Canada (Quebec)";"GIRL";"ASRREA0";1993;40932,8313230001;465,0592536;4,40891658705383;544,6711336;3,34564637738338;623,761751;3,1768964328987;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"74";"Canada (Quebec)";"BOY";"ASRREA0";1950;39490,4556730001;446,0506734;8,38264565109441;532,0712526;2,50787856225655;611,7154994;2,60151434158275;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"75";"Table Average";"GIRL";"ASRREA0";NA;NA;410,512118718919;1,16315035513074;516,198752832432;0,831790898642649;606,458246027027;1,04423992041341;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"76";"Table Average";"BOY";"ASRREA0";NA;NA;384,856377043243;1,27890043608762;497,186736924324;0,834047182863065;590,919253751351;1,03242725282598;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
