"";"IDCNTRY";"SGENDER";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"54";"Dominican Republic";"GIRL";"PVCIV";"Percentile";50;90;388,384260247322;4,80022647809981;482,809741627698;5,92588361648062;94,4254813803755;6,29501647940431;15,0000372023348;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"55";"Estonia";"BOY";"PVCIV";"Percentile";10;50;384,809130662765;9,18852562282103;508,887157420942;7,75269314776178;124,078026758177;10,0857171538525;12,3023504293675;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"56";"Estonia";"BOY";"PVCIV";"Percentile";10;90;384,809130662765;9,18852562282103;634,016692879954;10,1817322030062;249,207562217189;11,8778601626536;20,980846617537;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"57";"Estonia";"BOY";"PVCIV";"Percentile";50;90;508,887157420942;7,75269314776178;634,016692879954;10,1817322030062;125,129535459012;11,1974568635887;11,174817369996;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"58";"Estonia";"GIRL";"PVCIV";"Percentile";10;50;430,024004820406;8,30359051466988;546,110565448395;6,46827438919851;116,08656062799;8,00528981484978;14,5012314747993;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"59";"Estonia";"GIRL";"PVCIV";"Percentile";10;90;430,024004820406;8,30359051466988;646,424495556277;9,58200826503408;216,400490735872;11,443584221085;18,9102021320514;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"60";"Estonia";"GIRL";"PVCIV";"Percentile";50;90;546,110565448395;6,46827438919851;646,424495556277;9,58200826503408;100,313930107882;9,39086167449054;10,6820794070874;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"61";"Finland";"BOY";"PVCIV";"Percentile";10;50;445,796635340513;6,54643341668093;566,299532514132;5,83563646135005;120,502897173619;7,60873905094433;15,8374332943727;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"62";"Finland";"BOY";"PVCIV";"Percentile";10;90;445,796635340513;6,54643341668093;676,707946154883;6,43055818202479;230,91131081437;7,06626365150671;32,6779925293524;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"63";"Finland";"BOY";"PVCIV";"Percentile";50;90;566,299532514132;5,83563646135005;676,707946154883;6,43055818202479;110,408413640751;7,96652305038402;13,8590465303968;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"64";"Finland";"GIRL";"PVCIV";"Percentile";10;50;493,955733861907;7,78684614634653;591,746043086572;4,73062066875517;97,7903092246651;7,61164481352911;12,8474609128963;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"65";"Finland";"GIRL";"PVCIV";"Percentile";10;90;493,955733861907;7,78684614634653;689,115748830701;5,42725192203363;195,160014968794;8,19637374434079;23,8105314686928;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"66";"Finland";"GIRL";"PVCIV";"Percentile";50;90;591,746043086572;4,73062066875517;689,115748830701;5,42725192203363;97,3697057441289;5,63906774113306;17,2669863555433;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"67";"Greece";"BOY";"PVCIV";"Percentile";10;50;332,443997336009;6,54643341668085;457,783834535794;7,84343734252195;125,339837199786;8,44093656990863;14,8490438426719;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"68";"Greece";"BOY";"PVCIV";"Percentile";10;90;332,443997336009;6,54643341668085;595,32117267113;6,82752300220354;262,877175335121;8,97177886301356;29,3004519336561;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"69";"Greece";"BOY";"PVCIV";"Percentile";50;90;457,783834535794;7,84343734252195;595,32117267113;6,82752300220354;137,537338135335;7,92756671399626;17,3492501668275;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
