"";"IDCNTRY";"BSBG01";"dvar";"n";"TOTWGT";"sumw_se";"pct";"pct_se";"mnpv";"mnpv_se";"mnpv_ci";"mnx_svr";"mnx_ivr";"sdpv";"sdpv_se";"vrpv";"vrpv_se";"DEff1";"DEff2";"DEff3";"DEff4";"DEff5";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"61";"Slovenia";"Girl";"BSMMAT0";2049;8250,432326;140,160381705453;48,4273664492718;0,739240774738132;515,085503799548;2,35241950274788;"510 to 520";5,42557419528312;0,108303321625482;68,9209717843117;1,76749880442181;4751,05597738838;242,837077693767;1,04670824908542;2,28010951404344;2,33990118808199;1,01996163313362;2,38660943716741;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"62";"Slovenia";"Boy";"BSMMAT0";2199;8786,282513;154,813861664158;51,5726335507282;0,73924077473814;517,583398587051;2,46421980855377;"513 to 522";5,80320366708657;0,269175597782222;69,538850548012;1,65602657652926;4836,34840365716;230,291807534953;1,12238926771188;2,45993161116124;2,63861157196069;1,04638396534467;2,76100083967256;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"63";"South Africa";"Girl";"BSMMAT0";6422;445654,496821008;13630,0838406887;51,3022198555602;1,13660117667672;375,854529602725;5,30060108232661;"365 to 386";27,6469438103564;0,449428023605627;86,9118450453934;3,46013334656059;7554,0426741483;601,317623216582;1,38207710653696;17,2825903511902;23,5037953594996;1,01625597486248;23,8858724660365;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"64";"South Africa";"Boy";"BSMMAT0";6084;423030,129450008;14699,6109036281;48,6977801444398;1,13660117667673;368,778953160924;4,5740442769888;"360 to 378";19,2513124390304;1,67056860882361;87,100589980421;3,30014703627415;7587,23921857537;574,727325250729;2,33958336138916;7,1708003775418;15,4371018897507;1,08677686854412;16,7766852511399;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"65";"Sweden";"Girl";"BSMMAT0";1963;46157,2415559999;1448,88501970184;48,10353040735;0,962131043099447;497,796050583081;3,2193799420691;"491 to 504";8,76344080049475;1,6009664109021;70,8962416639787;2,19263056401159;5026,87640516544;310,987592359946;1,6251789006333;2,49037865088863;3,42213193737852;1,18268696592458;4,04731083801182;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"66";"Sweden";"Boy";"BSMMAT0";2086;49796,716844;2210,21746289488;51,89646959265;0,962131043099447;504,491303557885;3,11384168719046;"498 to 511";8,93961186372158;0,756398189163576;72,2611251068422;2,16660331618228;5223,32666111991;313,353642015041;1,30207695688267;2,97388055363149;3,57014438452237;1,0846119720514;3,87222134140504;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"67";"Thailand";"Girl";"BSMMAT0";3509;361555,42669;13280,5904722656;53,7445063525754;1,51282545288304;439,543381610635;5,2225417483551;"429 to 450";25,8865835779817;1,38835873533023;85,4205890993669;3,67364167543873;7297,23733702914;627,493380187841;1,66761578077672;7,8648915983654;12,4480015627557;1,05363236640122;13,1156173435324;0;74;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"68";"Thailand";"Boy";"BSMMAT0";2973;311174,59025;11923,5780190025;46,2554936474246;1,51282545288304;421,975735052646;5,67606105793143;"411 to 433";30,7443263986431;1,47334273472259;92,4477346773534;3,79855571838228;8547,12036568415;702,259311410836;1,5124823054928;7,40932941585955;10,6939973315621;1,04792242690956;11,2064796370549;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"69";"United Arab Emirates";"Girl";"BSMMAT0";8838;28624,8849159998;1484,03269515268;50,1850177963596;2,54802305790206;471,050616050455;3,51928637355129;"464 to 478";12,0844875591265;0,30088901993729;90,7503142181403;1,54180353557383;8235,74612726361;279,826945970623;1,32289207524289;10,0469871681227;12,9681876295337;1,02489878188588;13,2910797047766;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"70";"United Arab Emirates";"Boy";"BSMMAT0";9073;28413,8214010003;1556,15258894252;49,8149822036404;2,54802305790206;458,911834046748;4,06313528617035;"451 to 467";16,0161900219902;0,492878331732442;104,312630531296;1,87371435447948;10881,8162499196;390,833362423921;1,41095024958187;9,75574382505206;13,3539189352321;1,03077375649613;13,764869184814;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
