"";"BSBG01";"percentile";"dvar";"groupvar";"refgroup";"compgroup";"val";"val_se";"cval";"cval_se";"valdiff";"valdiff_se";"valdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"3777";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Ireland";446,289514;8,21701109689016;518,662838;3,84484358202311;72,373324;9,07205012864459;7,97761508961293;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3778";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Israel";446,289514;8,21701109689016;483,79366;5,59610195586535;37,504146;9,94161095933934;3,77244152415438;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3779";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Italy";446,289514;8,21701109689016;491,658424;3,15571344209293;45,36891;8,80214739112122;5,15430019335553;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3780";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Ivory Coast";446,289514;8,21701109689016;250,942374;5,09912081775241;-195,34714;9,6705896656022;-20,2001270610044;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3781";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Japan";446,289514;8,21701109689016;590,397142;4,87254680361552;144,107628;9,55306148414422;15,0849681266245;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3782";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Kazakhstan";446,289514;8,21701109689016;447,573714;4,32136319234057;1,28420000000002;9,28404282662095;0,138323360197965;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3783";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Jordan";446,289514;8,21701109689016;393,46869;4,61822788224553;-52,820824;9,42588458123512;-5,60380551499163;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3784";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Korea, Republic of";446,289514;8,21701109689016;598,663476;3,7741508002697;152,373962;9,04231638628026;16,851208859623;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3785";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Kuwait";446,289514;8,21701109689016;392,49028;5,88949873322766;-53,799234;10,1096719380555;-5,32156081123518;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3786";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Lithuania";446,289514;8,21701109689016;512,532072;3,94742830341019;66,242558;9,11600030588963;7,26662524980416;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
