IDCNTRY;Variable;ASDGHRL;ASDGSLR;ASDGHRL.se;ASDGSLR.se;xvar;corrtype;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Malta;ASDGSLR;,0682784276298768;1;,0179775072860018;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Morocco;ASDGHRL;1;,115877809025613;0;,0261082377276645;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Morocco;ASDGSLR;,115877809025613;1;,0261082377276645;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Netherlands;ASDGHRL;1;,146036386206768;0;,0199910954629247;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Netherlands;ASDGSLR;,146036386206768;1;,0199910954629247;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
New Zealand;ASDGHRL;1;,114902923710092;0;,0249777018539036;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
New Zealand;ASDGSLR;,114902923710092;1;,0249777018539036;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Northern Ireland;ASDGHRL;1;,134135304052287;0;,0272783903041732;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Northern Ireland;ASDGSLR;,134135304052287;1;,0272783903041732;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway;ASDGHRL;1;,111447170103946;0;,0184463002962248;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway;ASDGSLR;,111447170103946;1;,0184463002962248;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway (4);ASDGHRL;1;,0788294517551243;0;,0180272700329389;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway (4);ASDGSLR;,0788294517551243;1;,0180272700329389;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Oman;ASDGHRL;1;,0615764056735899;0;,0157786995467855;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Oman;ASDGSLR;,0615764056735899;1;,0157786995467855;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Poland;ASDGHRL;1;,0552478642804421;0;,0194851033662187;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
