IDCNTRY;Variable;TOTWGT;mean;stdev;TOTWGT.se;mean.se;stdev.se;NObs;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Korea, Republic of;BSDAGE;406313,998984998;14,3695318118619;,308514341409223;6086,37641467636;,00570715470943788;,00672252290768088;4257;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Korea, Republic of;BSMMAT0_;406313,998984998;595,99428840019;98,291104303027;6086,37641467636;3,04924816261569;1,52906941866147;4257;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Kuwait;BSDAGE;43760,9343880001;13,8049998745182;,682935801791412;709,589653635935;,0140049493653314;,0259325245839066;4240;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Kuwait;BSMMAT0_;43760,9343880001;397,720303066286;94,8514916473634;709,589653635935;5,22433973631402;3,48812857924126;4240;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Lithuania;BSDAGE;26387,9998300003;14,8189148734644;,349837971404149;636,157576623817;,00680201628331389;,00490020573860388;5421;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Lithuania;BSMMAT0_;26387,9998300003;513,597002901396;92,2925035686885;636,157576623817;3,14555787350121;1,88537227368375;5421;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Malaysia;BSDAGE;412749,182158003;14,2458877879332;,330070770855165;3316,71628821871;,00527584024568975;,00619904202254622;8780;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Malaysia;BSMMAT0_;412749,182158003;410,685093395294;87,6326979647074;3316,71628821871;3,48394412501556;1,80562765248874;8780;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Malta;BSDAGE;4314,70594;13,7225887663273;,362647576282203;11,5165793674218;,00557463442794939;,0121632531597157;3992;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Malta;BSMMAT0_;4314,70594;499,373653909273;89,7013894814744;11,5165793674218;1,19258171622495;1,20234468283216;3992;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
