ASBGSEX;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Philippines;354,263450267756;2,49019768654448;224,362894140682;8,11045523742268;-129,900556127074;8,48413629524588;-15,3109935539183;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Russian Federation;354,263450267756;2,49019768654448;427,619638539632;7,44206154090078;73,3561882718754;7,84763432485395;9,34755433743285;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Singapore;354,263450267756;2,49019768654448;494,625915912838;10,8535656357671;140,362465645082;11,1355723484684;12,6048721388252;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Slovenia;354,263450267756;2,49019768654448;374,120693870976;6,09974723248959;19,8572436032201;6,58847484766663;3,01393631490492;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Tunisia;354,263450267756;2,49019768654448;213,402945601965;9,85262964929653;-140,860504665791;10,1624502716751;-13,8608800929043;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;United States;354,263450267756;2,49019768654448;416,550624204819;3,55313615987845;62,2871739370627;4,33887786054266;14,355595142121;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Yemen;354,263450267756;2,49019768654448;129,982692284322;6,9282732995037;-224,280757983434;7,36220452247065;-30,4638043263934;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;England;354,263450267756;2,49019768654448;419,460848667381;4,74778007744697;65,1973983996244;5,36120324012006;12,16096377614;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Scotland;354,263450267756;2,49019768654448;387,998142110322;4,42526765641384;33,7346918425653;5,07780251181295;6,64356121847694;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Belgium (Flemish);354,263450267756;2,49019768654448;476,95088973112;4,70385348696559;122,687439463364;5,3223417914401;23,0514018586107;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Canada (Ontario);354,263450267756;2,49019768654448;415,712008567819;6,99625680635705;61,4485583000627;7,42621665577896;8,27454424619357;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Canada (Quebec);354,263450267756;2,49019768654448;418,055795185369;4,90153288633879;63,7923449176122;5,49782767590365;11,6031910562069;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;United States (Indiana);354,263450267756;2,49019768654448;451,957144039334;6,17235090200441;97,693693771578;6,65574940750823;14,6780907438269;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Australia;487,17148973453;3,08124687972363;393,264623111452;6,3300379902988;-93,9068666230781;7,04013233486649;-13,3387928175726;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Armenia;487,17148973453;3,08124687972363;354,263450267756;2,49019768654448;-132,908039466774;3,9617126160132;-33,5481273754086;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Chinese Taipei;487,17148973453;3,08124687972363;487,17148973453;3,08124687972363;0;4,35754112632494;0;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Cyprus;487,17148973453;3,08124687972363;395,136809031771;6,34125986009126;-92,0346807027595;7,05022403523542;-13,0541498032958;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Hong Kong, SAR;487,17148973453;3,08124687972363;498,383198281335;3,86386699188495;11,2117085468051;4,94201886528013;2,26864948362952;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Hungary;487,17148973453;3,08124687972363;424,161915383871;7,22232326351294;-63,0095743506593;7,85213573854189;-8,02451415114736;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Iran, Islamic Republic of;487,17148973453;3,08124687972363;285,639326002031;9,51728761152617;-201,532163732499;10,0036416276432;-20,1458799939016;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Italy;487,17148973453;3,08124687972363;394,657532306204;5,58162395818032;-92,513957428326;6,3756261139075;-14,5105681819265;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Japan;487,17148973453;3,08124687972363;473,734500722133;3,86232821544182;-13,4369890123977;4,94081588177546;-2,7195890990314;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Latvia;487,17148973453;3,08124687972363;444,64145068999;8,27949862644168;-42,53003904454;8,83426170311115;-4,81421543461433;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Lithuania;487,17148973453;3,08124687972363;437,239109768147;5,13938622942743;-49,9323799663836;5,9922761242315;-8,33279023382577;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Moldova;487,17148973453;3,08124687972363;392,930588170315;8,51976381135258;-94,2409015642149;9,0598265841593;-10,4020646188737;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Morocco;487,17148973453;3,08124687972363;224,496090029409;6,60993403600606;-262,675399705121;7,29282594706318;-36,0183283698003;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Netherlands;487,17148973453;3,08124687972363;467,196134033185;7,02606647319368;-19,9753557013455;7,67200706592108;-2,60366753180868;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;New Zealand;487,17148973453;3,08124687972363;382,275534001954;4,91558042710492;-104,895955732576;5,80146647574074;-18,0809380130363;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Norway;487,17148973453;3,08124687972363;346,030097615575;4,45614455586166;-141,141392118955;5,41768461951617;-26,0519764495926;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Philippines;487,17148973453;3,08124687972363;224,362894140682;8,11045523742268;-262,808595593848;8,67603403013402;-30,2913283513006;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Russian Federation;487,17148973453;3,08124687972363;427,619638539632;7,44206154090078;-59,5518511948986;8,05471056664118;-7,39341913060592;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Singapore;487,17148973453;3,08124687972363;494,625915912838;10,8535656357671;7,45442617830774;11,282462911249;,660709123260259;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Chinese Taipei;Slovenia;487,17148973453;3,08124687972363;374,120693870976;6,09974723248959;-113,050795863554;6,83381289135655;-16,5428579419465;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
