IDCNTRY;dvar;refpctile;comppctile;groupvar;refgroup;compgroup;gap;gap_se;cgap;cgap_se;gapdiff;gapdiff_se;gapdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Hungary;ASMMAT0;   10,00;   50,00;ASBGSEX;BOY;BOY;109,209957781107;7,34656437080163;109,209957781107;7,34656437080163;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;ASMMAT0;   10,00;   90,00;ASBGSEX;GIRL;GIRL;196,297468674686;7,54123413978899;196,297468674686;7,54123413978899;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;ASMMAT0;   10,00;   90,00;ASBGSEX;GIRL;BOY;196,297468674686;7,54123413978899;201,096068931915;8,17566079021835;4,798600257229;10,6510179196562;,450529732784815;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;ASMMAT0;   10,00;   90,00;ASBGSEX;BOY;GIRL;201,096068931915;8,17566079021835;196,297468674686;7,54123413978899;-4,798600257229;10,6510179196562;-,450529732784815;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;ASMMAT0;   10,00;   90,00;ASBGSEX;BOY;BOY;201,096068931915;8,17566079021835;201,096068931915;8,17566079021835;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;ASMMAT0;   50,00;   90,00;ASBGSEX;GIRL;GIRL;87,8283748756303;5,85747986988134;87,8283748756303;5,85747986988134;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;ASMMAT0;   50,00;   90,00;ASBGSEX;GIRL;BOY;87,8283748756303;5,85747986988134;91,8861111508081;4,21303609015098;4,05773627517781;7,01576414589329;,578374100211596;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;ASMMAT0;   50,00;   90,00;ASBGSEX;BOY;GIRL;91,8861111508081;4,21303609015098;87,8283748756303;5,85747986988134;-4,05773627517781;7,01576414589329;-,578374100211596;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;ASMMAT0;   50,00;   90,00;ASBGSEX;BOY;BOY;91,8861111508081;4,21303609015098;91,8861111508081;4,21303609015098;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Iran, Islamic Republic of;ASMMAT0;   10,00;   50,00;ASBGSEX;GIRL;GIRL;109,871321807132;9,29495708695207;109,871321807132;9,29495708695207;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Iran, Islamic Republic of;ASMMAT0;   10,00;   50,00;ASBGSEX;GIRL;BOY;109,871321807132;9,29495708695207;112,139819519899;5,23587946494238;2,26849771276752;11,0743301354784;,204842883047167;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Iran, Islamic Republic of;ASMMAT0;   10,00;   50,00;ASBGSEX;BOY;GIRL;112,139819519899;5,23587946494238;109,871321807132;9,29495708695207;-2,26849771276752;11,0743301354784;-,204842883047167;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Iran, Islamic Republic of;ASMMAT0;   10,00;   50,00;ASBGSEX;BOY;BOY;112,139819519899;5,23587946494238;112,139819519899;5,23587946494238;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Iran, Islamic Republic of;ASMMAT0;   10,00;   90,00;ASBGSEX;GIRL;GIRL;215,87492079796;11,2946247953514;215,87492079796;11,2946247953514;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Iran, Islamic Republic of;ASMMAT0;   10,00;   90,00;ASBGSEX;GIRL;BOY;215,87492079796;11,2946247953514;225,174208271336;8,16117008097236;9,29928747337583;13,3112674690151;,698602705942311;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
