IDCNTRY;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Czech Republic;10;ASRREA0;ASBGSEX;GIRL;BOY;461,4374832;5,47334563079871;440,0685936;6,20762535853178;-21,3688896;6,80280503592669;-3,14118800805661;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;10;ASRREA0;ASBGSEX;BOY;GIRL;440,0685936;6,20762535853178;461,4374832;5,47334563079871;21,3688896;6,80280503592669;3,14118800805661;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;10;ASRREA0;ASBGSEX;BOY;BOY;440,0685936;6,20762535853178;440,0685936;6,20762535853178;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;50;ASRREA0;ASBGSEX;GIRL;GIRL;547,5435466;2,48686155125179;547,5435466;2,48686155125179;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;50;ASRREA0;ASBGSEX;GIRL;BOY;547,5435466;2,48686155125179;535,7864304;2,72558455819497;-11,7571162;3,20181885112346;-3,67201167420032;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;50;ASRREA0;ASBGSEX;BOY;GIRL;535,7864304;2,72558455819497;547,5435466;2,48686155125179;11,7571162;3,20181885112346;3,67201167420032;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;50;ASRREA0;ASBGSEX;BOY;BOY;535,7864304;2,72558455819497;535,7864304;2,72558455819497;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;90;ASRREA0;ASBGSEX;GIRL;GIRL;618,242516;3,41625240517587;618,242516;3,41625240517587;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;90;ASRREA0;ASBGSEX;GIRL;BOY;618,242516;3,41625240517587;611,655462;5,94879116206802;-6,58705399999999;6,9413786153575;-,948954719949496;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;90;ASRREA0;ASBGSEX;BOY;GIRL;611,655462;5,94879116206802;618,242516;3,41625240517587;6,58705399999999;6,9413786153575;,948954719949496;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;90;ASRREA0;ASBGSEX;BOY;BOY;611,655462;5,94879116206802;611,655462;5,94879116206802;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
France;10;ASRREA0;ASBGSEX;GIRL;GIRL;441,7279316;2,84608760985659;441,7279316;2,84608760985659;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
France;10;ASRREA0;ASBGSEX;GIRL;BOY;441,7279316;2,84608760985659;426,3624112;4,540670930915;-15,3655204;5,23381313847034;-2,93581753751545;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
France;10;ASRREA0;ASBGSEX;BOY;GIRL;426,3624112;4,540670930915;441,7279316;2,84608760985659;15,3655204;5,23381313847034;2,93581753751545;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
France;10;ASRREA0;ASBGSEX;BOY;BOY;426,3624112;4,540670930915;426,3624112;4,540670930915;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
France;50;ASRREA0;ASBGSEX;GIRL;GIRL;531,7258696;3,01602790943334;531,7258696;3,01602790943334;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
France;50;ASRREA0;ASBGSEX;GIRL;BOY;531,7258696;3,01602790943334;525,2522936;4,35310994336373;-6,47357599999998;4,73117887346311;-1,36827969796489;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
France;50;ASRREA0;ASBGSEX;BOY;GIRL;525,2522936;4,35310994336373;531,7258696;3,01602790943334;6,47357599999998;4,73117887346311;1,36827969796489;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
