"";"IDCNTRY";"EqVar";"b";"beta";"b.se";"beta.se";"b.t";"beta.t";"xvar";"dvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"49";"England";"(CONSTANT)";107,06973840944;NA;48,637682890942;NA;2,20137416187193;NA;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"50";"England";"BSDAGE";-0,659405430485067;-0,00198080396524366;3,5858111336019;0,0108323252760936;-0,183892961987293;-0,182860458374085;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"51";"England";"BSDGSLM_D2";-22,9750970309069;-0,105189831205594;4,41105788700233;0,0208144500286861;-5,20852312970218;-5,05369255784434;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"52";"England";"BSDGSLM_D3";-38,5733893149919;-0,189032063735393;4,3701047086334;0,0228012125244791;-8,82665104998236;-8,2904390953968;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"53";"England";"BSBG01_D2";7,72063993445504;0,0384366602756908;2,74716351672961;0,0136664554719435;2,81040421781888;2,8124820188087;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"54";"England";"BSSSCI0_";0,831731448008645;0,80708840504918;0,0171170951440918;0,010609489272006;48,5906890747013;76,0723145438067;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"55";"Finland";"(CONSTANT)";143,974606445481;NA;40,356865619799;NA;3,56753687964427;NA;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"56";"Finland";"BSDAGE";-0,47281673475284;-0,00191558109548246;2,88953610653645;0,0117301029957258;-0,163630671955708;-0,163304712343997;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"57";"Finland";"BSDGSLM_D2";-4,14660530395667;-0,0210158806645992;7,26101732978904;0,0367202208480576;-0,571077731345552;-0,57232446263217;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"58";"Finland";"BSDGSLM_D3";-27,4420878177519;-0,149906634448615;7,43186994816464;0,0400145342318053;-3,69248762547694;-3,74630461972146;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"59";"Finland";"BSBG01_D2";-6,45771227610885;-0,03805520122325;2,56598108082489;0,0149800521440096;-2,5166640254545;-2,54039177283292;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"60";"Finland";"BSSSCI0_";0,709933406158494;0,760764268571414;0,0122163556860534;0,00926326740427566;58,1133542934559;82,1269899021017;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"61";"France";"(CONSTANT)";227,077323237499;NA;36,657077984153;NA;6,19463786327064;NA;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"62";"France";"BSDAGE";-10,3163292703593;-0,0460048093329276;2,51148516538532;0,0113833115534462;-4,1076608424946;-4,04142582911209;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"63";"France";"BSDGSLM_D2";-1,14436576691935;-0,00635124764886216;4,58238544152869;0,0252399123580868;-0,249731451341551;-0,251635091229913;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"64";"France";"BSDGSLM_D3";-25,7195639038928;-0,147894459674071;3,69307474240004;0,0216367471733681;-6,96426844780788;-6,83533705362649;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"65";"France";"BSBG01_D2";-6,24560554200277;-0,0362391424403324;2,78990302469143;0,0160989595683406;-2,23864610587802;-2,2510238805493;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"66";"France";"BSSSCI0_";0,824650626969763;0,762147112832274;0,0233850378609339;0,0110221776199877;35,2640278743098;69,1466912536586;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"67";"Georgia";"(CONSTANT)";103,580596743693;NA;90,0957935876989;NA;1,14967183948347;NA;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"68";"Georgia";"BSDAGE";-0,902563897586679;-0,00269242593434336;6,20298028790342;0,0186326189464463;-0,145504879218589;-0,144500670683058;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"69";"Georgia";"BSDGSLM_D2";-13,030222874468;-0,0631313224526961;4,55942702084654;0,0221374797836146;-2,85786411645398;-2,85178453327934;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"70";"Georgia";"BSDGSLM_D3";-37,9987297741134;-0,182754890368911;5,70392719967446;0,027851037258317;-6,66185391992416;-6,56187016210091;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"71";"Georgia";"BSBG01_D2";3,14908968519803;0,0156627695720621;3,6515993930365;0,0182161381888903;0,862386408323776;0,859829312319039;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"72";"Georgia";"BSSSCI0_";0,900076870292978;0,693929544185307;0,0221554968942248;0,0126611334214449;40,6254427327965;54,8078533798529;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
