IDCNTRY;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Lithuania;ASDMSCL;ASBGSEX;BOY;BOY;50,9090295434399;,942332002191431;50,9090295434399;,942332002191431;0; ; ;1,41017645077108;,0196926445857227;1,41017645077108;,0196926445857227;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Moldova;ASDMSCL;ASBGSEX;GIRL;GIRL;49,8122729598852;,886688625339405;49,8122729598852;,886688625339405;0; ; ;1,53682610291512;,0232418731369076;1,53682610291512;,0232418731369076;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Moldova;ASDMSCL;ASBGSEX;GIRL;BOY;49,8122729598852;,886688625339405;50,1877270401148;,886688625339393;,375454080229666;1,7733772506788;,21171698243335;1,53682610291512;,0232418731369076;1,58030132767856;,0201266629796838;,0434752247634336;,0182420503372377;2,38324223207997;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Moldova;ASDMSCL;ASBGSEX;BOY;GIRL;50,1877270401148;,886688625339393;49,8122729598852;,886688625339405;-,375454080229666;1,7733772506788;-,21171698243335;1,58030132767856;,0201266629796838;1,53682610291512;,0232418731369076;-,0434752247634336;,0182420503372377;-2,38324223207997;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Moldova;ASDMSCL;ASBGSEX;BOY;BOY;50,1877270401148;,886688625339393;50,1877270401148;,886688625339393;0; ; ;1,58030132767856;,0201266629796838;1,58030132767856;,0201266629796838;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Morocco;ASDMSCL;ASBGSEX;GIRL;GIRL;47,8015273398233;1,25892331957106;47,8015273398233;1,25892331957106;0; ; ;1,49606342427947;,0272432820898089;1,49606342427947;,0272432820898089;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Morocco;ASDMSCL;ASBGSEX;GIRL;BOY;47,8015273398233;1,25892331957106;52,1984726601767;1,25892331957106;4,39694532035348;2,51784663914212;1,74631180946414;1,49606342427947;,0272432820898089;1,54576531065186;,0252910065481075;,0497018863723946;,0301022520249411;1,6511019285605;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Morocco;ASDMSCL;ASBGSEX;BOY;GIRL;52,1984726601767;1,25892331957106;47,8015273398233;1,25892331957106;-4,39694532035348;2,51784663914212;-1,74631180946414;1,54576531065186;,0252910065481075;1,49606342427947;,0272432820898089;-,0497018863723946;,0301022520249411;-1,6511019285605;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Morocco;ASDMSCL;ASBGSEX;BOY;BOY;52,1984726601767;1,25892331957106;52,1984726601767;1,25892331957106;0; ; ;1,54576531065186;,0252910065481075;1,54576531065186;,0252910065481075;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Netherlands;ASDMSCL;ASBGSEX;GIRL;GIRL;48,8356513098535;1,18058764178149;48,8356513098535;1,18058764178149;0; ; ;1,58064213701796;,0182489037383627;1,58064213701796;,0182489037383627;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Netherlands;ASDMSCL;ASBGSEX;GIRL;BOY;48,8356513098535;1,18058764178149;51,1643486901464;1,18058764178147;2,3286973802929;2,36117528356296;,986245026578016;1,58064213701796;,0182489037383627;1,3160583920499;,0175757138841065;-,264583744968064;,0243177529568319;-10,8802711104823;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Netherlands;ASDMSCL;ASBGSEX;BOY;GIRL;51,1643486901464;1,18058764178147;48,8356513098535;1,18058764178149;-2,3286973802929;2,36117528356296;-,986245026578016;1,3160583920499;,0175757138841065;1,58064213701796;,0182489037383627;,264583744968064;,0243177529568319;10,8802711104823;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Netherlands;ASDMSCL;ASBGSEX;BOY;BOY;51,1643486901464;1,18058764178147;51,1643486901464;1,18058764178147;0; ; ;1,3160583920499;,0175757138841065;1,3160583920499;,0175757138841065;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
