IDCNTRY;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Chile;90;BSMMAT0;BSBG01;Boy;Girl;542,370188;6,81794579988459;519,125464;5,18352498802173;-23,244724;8,39413640210034;-2,76916205390513;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;90;BSMMAT0;BSBG01;Boy;Boy;542,370188;6,81794579988459;542,370188;6,81794579988459;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;10;BSMMAT0;BSBG01;Girl;Girl;465,305694;5,27356159616876;465,305694;5,27356159616876;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;10;BSMMAT0;BSBG01;Girl;Boy;465,305694;5,27356159616876;454,719;5,8814046155064;-10,586694;6,54488398396074;-1,61755258396395;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;10;BSMMAT0;BSBG01;Boy;Girl;454,719;5,8814046155064;465,305694;5,27356159616876;10,586694;6,54488398396074;1,61755258396395;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;10;BSMMAT0;BSBG01;Boy;Boy;454,719;5,8814046155064;454,719;5,8814046155064;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;50;BSMMAT0;BSBG01;Girl;Girl;609,874582;3,6795506540587;609,874582;3,6795506540587;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;50;BSMMAT0;BSBG01;Girl;Boy;609,874582;3,6795506540587;613,974172;3,61999404498742;4,09959000000001;4,03307597032834;1,01649213408352;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;50;BSMMAT0;BSBG01;Boy;Girl;613,974172;3,61999404498742;609,874582;3,6795506540587;-4,09959000000001;4,03307597032834;-1,01649213408352;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;50;BSMMAT0;BSBG01;Boy;Boy;613,974172;3,61999404498742;613,974172;3,61999404498742;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;90;BSMMAT0;BSBG01;Girl;Girl;710,815776;3,8752244776382;710,815776;3,8752244776382;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;90;BSMMAT0;BSBG01;Girl;Boy;710,815776;3,8752244776382;717,340078;4,00619716749989;6,52430199999997;4,73666774463592;1,37740334592572;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;90;BSMMAT0;BSBG01;Boy;Girl;717,340078;4,00619716749989;710,815776;3,8752244776382;-6,52430199999997;4,73666774463592;-1,37740334592572;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;90;BSMMAT0;BSBG01;Boy;Boy;717,340078;4,00619716749989;717,340078;4,00619716749989;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;10;BSMMAT0;BSBG01;Girl;Girl;338,417844;8,58510127787062;338,417844;8,58510127787062;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;10;BSMMAT0;BSBG01;Girl;Boy;338,417844;8,58510127787062;326,709278;6,9732188001377;-11,708566;10,5524922868536;-1,10955456604187;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;10;BSMMAT0;BSBG01;Boy;Girl;326,709278;6,9732188001377;338,417844;8,58510127787062;11,708566;10,5524922868536;1,10955456604187;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;10;BSMMAT0;BSBG01;Boy;Boy;326,709278;6,9732188001377;326,709278;6,9732188001377;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;50;BSMMAT0;BSBG01;Girl;Girl;457,756346;5,79745796315989;457,756346;5,79745796315989;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;50;BSMMAT0;BSBG01;Girl;Boy;457,756346;5,79745796315989;453,888878;4,77961212038424;-3,867468;6,52237799355221;-,592953674844242;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;50;BSMMAT0;BSBG01;Boy;Girl;453,888878;4,77961212038424;457,756346;5,79745796315989;3,867468;6,52237799355221;,592953674844242;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;50;BSMMAT0;BSBG01;Boy;Boy;453,888878;4,77961212038424;453,888878;4,77961212038424;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;90;BSMMAT0;BSBG01;Girl;Girl;563,474428;5,51840244612817;563,474428;5,51840244612817;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;90;BSMMAT0;BSBG01;Girl;Boy;563,474428;5,51840244612817;575,637594;5,40790720245419;12,163166;7,02890689223756;1,73044915610313;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;90;BSMMAT0;BSBG01;Boy;Girl;575,637594;5,40790720245419;563,474428;5,51840244612817;-12,163166;7,02890689223756;-1,73044915610313;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;90;BSMMAT0;BSBG01;Boy;Boy;575,637594;5,40790720245419;575,637594;5,40790720245419;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hong Kong, SAR;10;BSMMAT0;BSBG01;Girl;Girl;497,14825;10,8100683255181;497,14825;10,8100683255181;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
